V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,i.user1,i.user9,i.user3,Q1.1_1_TEXT,Q1.1_2_TEXT,Q1.1_3_TEXT,Q1.1_4_TEXT,Q1.1_5_TEXT,Q1.1_6_TEXT,Q1.1_7_TEXT,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q5.1,Q6.1,Q7.1,Q8.1,Q8.2_1,Q8.2_2,Q8.2_3,Q8.2_4,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7,Q8.8,Q8.9,Q8.10,Q8.11_1,Q8.11_2,Q8.11_3,Q8.11_4,Q9.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q9.10,Q9.11_1,Q9.11_2,Q9.11_3,Q9.11_4,Q10.1,Q10.2_1,Q10.2_2,Q10.2_3,Q10.2_4,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7,Q10.8,Q10.9,Q10.10,Q10.11_1,Q10.11_2,Q10.11_3,Q10.11_4,Q11.1,Q11.2_1,Q11.2_2,Q11.2_3,Q11.2_4,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.9,Q11.10,Q11.11_1,Q11.11_2,Q11.11_3,Q11.11_4,Q12.1,Q12.2_1,Q12.2_2,Q12.2_3,Q12.2_4,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7,Q12.8,Q12.9,Q12.10,Q12.11_1,Q12.11_2,Q12.11_3,Q12.11_4,Q13.1,Q13.2_1,Q13.2_2,Q13.2_3,Q13.2_4,Q13.3,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8,Q13.9,Q13.10,Q13.11_1,Q13.11_2,Q13.11_3,Q13.11_4,Q14.1,Q14.2_1,Q14.2_2,Q14.2_3,Q14.2_4,Q14.3,Q14.4,Q14.5,Q14.6,Q14.7,Q14.8,Q14.9,Q14.10,Q14.11_1,Q14.11_2,Q14.11_3,Q14.11_4,Q15.1,Q15.2_1,Q15.2_2,Q15.2_3,Q15.2_4,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q15.8,Q15.9,Q15.10,Q15.11_1,Q15.11_2,Q15.11_3,Q15.11_4,Q16.1,Q16.2_1,Q16.2_2,Q16.2_3,Q16.2_4,Q16.3,Q16.4,Q16.5,Q16.6,Q16.7,Q16.8,Q16.9,Q16.10,Q16.11_1,Q16.11_2,Q16.11_3,Q16.11_4,Q17.1,Q17.2_1,Q17.2_2,Q17.2_3,Q17.2_4,Q17.3,Q17.4,Q17.5,Q17.6,Q17.7,Q17.8,Q17.9,Q17.10,Q17.11_1,Q17.11_2,Q17.11_3,Q17.11_4,Q18.1,Q18.2_1,Q18.2_2,Q18.2_3,Q18.2_4,Q18.3,Q18.4,Q18.5,Q18.6,Q18.7,Q18.8,Q18.9,Q18.10,Q18.11_1,Q18.11_2,Q18.11_3,Q18.11_4,Q19.1,Q19.2_1,Q19.2_2,Q19.2_3,Q19.2_4,Q19.3,Q19.4,Q19.5,Q19.6,Q19.7,Q19.8,Q19.9,Q19.10,Q19.11_1,Q19.11_2,Q19.11_3,Q19.11_4,Q23.1,Q23.2,Q23.3,Q23.4,Q23.5,Q23.6,Q23.7_1,Q23.7_2,Q23.7_4,Q23.7_5,Q23.7_7,Q23.8,Q23.9,Q23.10,Q23.10_TEXT,Q22.1,Q22.2,Q22.3,Q22.4,Q22.5,Q22.6,Q22.7_1,Q22.7_2,Q22.7_4,Q22.7_5,Q22.7_7,Q22.8,Q22.9,Q22.10,Q22.10_TEXT,Q24.1,Q24.2_1,Q24.3,Q24.4,Q24.5,Q24.6,Q24.7,Q314,Q24.8,Q24.9,Q24.10,Q313,Q24.11,Q25.1,Q25.2,Q25.4,Q25.6,Q25.7,Q25.9,Q25.11,Q315,Q316,Q26.1,Q26.2,Q27.1,Q27.2,Q27.4,Q27.7,Q27.9,Q27.12,Q27.13,Q27.14,Q27.16,Q27.17,Q27.18,Q27.20,Q317,Q318,Q28.1,Q28.2,Q29.1,Q29.2,Q29.4,Q29.6,Q29.7,Q29.9,Q29.11,Q319,Q320,Q30.1,Q30.2_1,Q30.2_2,Q30.2_3,Q30.2_4,Q30.3,Q30.4_1,Q30.4_2,Q30.4_3,Q30.4_4,Q30.4_5,Q30.4_6,Q30.5_1,Q30.5_2,Q30.5_3,Q30.5_4,Q31.1,Q31.2_1,Q31.2_2,Q31.2_3,Q31.2_4,Q31.3,Q31.4_1,Q31.4_2,Q31.4_3,Q31.4_4,Q31.4_5,Q31.4_6,Q31.5_1,Q31.5_2,Q31.5_3,Q31.5_4,Q32.1,Q32.2_1,Q32.2_2,Q32.2_3,Q32.2_4,Q32.3,Q32.4_1,Q32.4_2,Q32.4_3,Q32.4_4,Q32.4_5,Q32.4_6,Q32.5_1,Q32.5_2,Q32.5_3,Q32.5_4,Q33.1,Q33.2_1,Q33.2_2,Q33.2_3,Q33.2_4,Q33.3,Q33.4_1,Q33.4_2,Q33.4_3,Q33.4_4,Q33.4_5,Q33.4_6,Q33.5_1,Q33.5_2,Q33.5_3,Q33.5_4,Q34.1,Q34.2_1,Q34.2_2,Q34.2_3,Q34.2_4,Q34.3,Q34.4_1,Q34.4_2,Q34.4_3,Q34.4_4,Q34.4_5,Q34.4_6,Q34.5_1,Q34.5_2,Q34.5_3,Q34.5_4,Q35.1,Q35.2_1,Q35.2_2,Q35.2_3,Q35.2_4,Q35.3,Q35.4_1,Q35.4_2,Q35.4_3,Q35.4_4,Q35.4_5,Q35.4_6,Q35.5_1,Q35.5_2,Q35.5_3,Q35.5_4,Q36.1,Q36.2_1,Q36.2_2,Q36.2_3,Q36.2_4,Q36.3,Q36.4_1,Q36.4_2,Q36.4_3,Q36.4_4,Q36.4_5,Q36.4_6,Q36.5_1,Q36.5_2,Q36.5_3,Q36.5_4,Q37.1,Q37.2_1,Q37.2_2,Q37.2_3,Q37.2_4,Q37.3,Q37.4_1,Q37.4_2,Q37.4_3,Q37.4_4,Q37.4_5,Q37.4_6,Q37.5_1,Q37.5_2,Q37.5_3,Q37.5_4,Q38.1,Q38.2_1,Q38.2_2,Q38.2_3,Q38.2_4,Q38.3,Q38.4_1,Q38.4_2,Q38.4_3,Q38.4_4,Q38.4_5,Q38.4_6,Q38.5_1,Q38.5_2,Q38.5_3,Q38.5_4,Q39.1,Q39.2_1,Q39.2_2,Q39.2_3,Q39.2_4,Q39.3,Q39.4_1,Q39.4_2,Q39.4_3,Q39.4_4,Q39.4_5,Q39.4_6,Q39.5_1,Q39.5_2,Q39.5_3,Q39.5_4,Q40.1,Q40.2_1,Q40.2_2,Q40.2_3,Q40.2_4,Q40.3,Q40.4_1,Q40.4_2,Q40.4_3,Q40.4_4,Q40.4_5,Q40.4_6,Q40.5_1,Q40.5_2,Q40.5_3,Q40.5_4,Q41.1,Q41.2_1,Q41.2_2,Q41.2_3,Q41.2_4,Q41.3,Q41.4_1,Q41.4_2,Q41.4_3,Q41.4_4,Q41.4_5,Q41.4_6,Q41.5_1,Q41.5_2,Q41.5_3,Q41.5_4,Q20.1_1,Q20.1_2,Q20.1_3,Q20.1_4,Q20.1_5,Q20.2_1,Q20.2_2,Q20.2_4,Q20.2_5,Q20.2_7,Q20.3,Q20.4,Q20.5,Q20.5_TEXT,Q42.1_1,Q42.1_2,Q42.1_3,Q42.1_4,Q42.1_5,Q42.2_1,Q42.2_2,Q42.2_4,Q42.2_5,Q42.2_7,Q42.3,Q42.4,Q42.5,Q42.5_TEXT,DO-BR-FL_346,DO-BR-FL_214,DO-BR-FL_269,DO-BR-FL_273,DO-BR-FL_291,DO-BR-FL_365,DO-BR-FL_375,DO-BR-FL_385,DO-Q-Q20.2,DO-Q-Q42.2,DO-Q-Q23.7,DO-Q-Q22.7,LocationLatitude,LocationLongitude,LocationAccuracy
R_3psR2y9UScNsmqg,Default Response Set,Anonymous,,,,0,28/01/2018 14:20,28/01/2018 14:27,1,,,,,,,,,,,1,1,5,4,4,,,,,,,,1,1,שיווק,6,6,4,"קישור התחום הלימודי לעולם העבודה , יותר פרקטיקה, הבאת דוגמאות מהעולם ומהארץ, אנשים שיבואו להרצות ולספר",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,8,4,1,3,פתח תקווה,,גבעתים,3,2,1,1,,,,,,,,,,,,1,1,5,1,3,1,1,5,1,1,7,7,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,23.724,0,1,5,5,5,5,5,4,2.828,11.723,12.541,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,22.501,0,1,1,3,3,5,5,4,3.514,23.841,25.402,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,1,2,1,1,,,,1,5,8,9,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_placebo,,,,,waste e,,4|1|2|5|7,,,,,,
R_3NONCzVNjZcAo4P,Default Response Set,Anonymous,,,,0,28/01/2018 14:21,28/01/2018 14:27,1,,,,,,,,,,,1,1,3,2,6,,,,,,,,1,1,משאבי אנוש,3,4,4,נמשכים לבד. גם מתארים אחרים,1,,,,,,,,,,,,,,,,,,,,1,3.362,23.31,27.816,2,1,1,2,2,2,2,2,3,9.386,33.511,34.128,17,1,14.447,14.447,15.331,1,1,1,4,4,5,5,4,5,9.23,28.074,28.56,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,5,5,3,1,1,,,,6,3,8,9,1,31,7,4,1,2,חיפה,2,קריית אתא,2,2,1,1,1,1,4,7,1,3,7,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_symbol,Mobile_air d,,,,,,,,,2|4|1|5|7,,,
R_1JQra7ILodwepIK,Default Response Set,Anonymous,,,,0,28/01/2018 14:18,28/01/2018 14:27,1,,,,,,,,,,,1,1,4,2,6,1,5,4,5,3,פתח תקווה,זיהום אוויר,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.271,32.043,43.508,8,1,1,4,3,5,5,4,3,4.251,41.875,42.983,23,1,1.536,35.789,37.497,4,1,1,6,5,4,4,5,5,5.215,28.88,29.481,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,4,4,2,1,1,,,,5,4,8,9,1,15,2,5,2,,,,לא סיימתי עדיין בית ספר תיכון,3,2,5,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,4,1,1,5,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_treatment,POLICY PROGRAMS intro_control,,,Mobile_air f,,,,,,,1|4|5|2|7,,,
R_bJIpIADFckoLBnP,Default Response Set,Anonymous,,,,0,28/01/2018 14:15,28/01/2018 14:27,1,,,,,,,,,,,1,1,1,2,4,1,4,4,5,5,ראשון לציון,.,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.571,5.829,5.873,2,1,1,5,5,5,5,5,5,6.049,11.602,12.212,16,1,5.21,5.895,6.726,2,1,1,4,5,5,4,5,5,4.875,24.868,25.401,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,4,6,1,1,1,,,,2,7,8,9,,,,,,,,,,,,,,,,1,19,4,3,2,,,,ראשון לציון,5,2,5,1,,,,,,,,,,,,1,1,4,1,3,1,1,5,3,1,3,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_treatment,POLICY PROGRAMS intro_placebo,,Mobile waste b,,,,,,,2|4|5|1|7,,,,
R_R8CsNJ9Ovd01zQB,Default Response Set,Anonymous,,,,0,28/01/2018 14:22,28/01/2018 14:28,1,,,,,,,,,,,1,1,1,1,8,,,,,,,,1,1,עיצוב,6,6,7,חקיקה,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.386,2.386,3.996,1,1,1,1,1,1,1,1,1,29.126,70.731,70.816,18,1,2.695,2.695,5.827,1,1,1,1,1,1,1,1,1,6.364,14.253,14.988,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,5,5,3,,,,,1,1,1,8,8,1,31,8,2,1,5,ראשון לציון,,ראשון לציון,4,2,5,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,2,5,1,4,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_control,,,Mobile_air f,,,,,,,4|1|2|5|7,,,
R_27fYZIiCSsDCB9R,Default Response Set,Anonymous,,,,0,28/01/2018 14:18,28/01/2018 14:28,1,,,,,,,,,,,1,1,6,6,5,,,,,,,,1,2,מנהל עסקים,4,5,5,אפשרויות תעסוקה ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.333,11.333,12.135,1,1,1,1,2,1,1,1,1,4.275,64.784,65.42,25,1,240.851,242.241,242.837,3,1,1,2,1,1,1,1,1,5.573,19.21,20.026,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,7,1,1,1,,,,7,7,8,9,1,31,7,2,2,2,קרית ביאליק,1,קרית ביאליק,2,2,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,6,3,1,6,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_control,,,Mobile_air f,,,,,,,1|5|4|2|7,,,
R_1gdL28qh9tAXSIm,Default Response Set,Anonymous,,,,0,28/01/2018 14:21,28/01/2018 14:28,1,,,,,,,,,,,1,1,1,1,6,1,4,4,6,2,חיפה,זיהום אוויר,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22.26,22.26,24.997,1,1,1,4,4,4,4,4,4,3.958,13.808,15.919,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.057,1.057,3.971,1,1,1,4,4,4,4,4,4,4.129,10.434,10.94,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,,,,,1,4,4,8,9,1,41,7,5,1,,,2,חיפה,2,1,1,1,,,,,,,,,,,,1,1,4,1,4,1,1,4,2,1,4,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_treatment,POLICY PROGRAMS intro_placebo,,Mobile_air b,,,,,,,,4|1|2|5|7,,,
R_O7rC4LMu5zrZ1vP,Default Response Set,Anonymous,,,,0,28/01/2018 14:23,28/01/2018 14:28,1,,,,,,,,,,,1,1,1,1,7,1,5,4,5,5,ראשון לציון,מלא יתושים ומאגרי מים פתוחים.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,7,3,2,,,,תל מונד,3,2,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,6,3,1,7,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,13.315,0,1,5,4,2,2,4,4,5.409,21.689,22.896,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,27.912,0,1,5,4,2,2,4,4,7.547,17.917,18.915,6,,,,,,,,,,,,,,,6,3,4,6,5,1,,,,,3,4,8,9,Relevance_treatment,POLICY PROGRAMS intro_control,,,,,,air c,,5|2|4|1|7,,,,,
R_1GJkxjg8ZVGws6f,Default Response Set,Anonymous,,,,0,28/01/2018 14:14,28/01/2018 14:28,1,,,,,,,,,,,1,1,4,4,6,,,,,,,,1,2,הוראת נגינה,7,6,6,"זה מפתח את המוח, עוזר בלימודים, ועושה טוב לנשמה, זו פשוט אומנות, ונגינה זה דבר מהנה שצריך לפתח אותו יותר בבתי הספר ",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.327,19.053,48.847,2,1,1,5,5,6,5,5,5,11.651,100.682,101.4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.505,37.891,75.936,2,1,1,3,4,4,4,3,4,19.216,69.727,70.665,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,7,1,1,1,,,,7,5,8,9,,,,,,,,,,,,,,,,1,29,8,1,1,2,קריית ביאליק,1,קריית ביאליק,2,2,1,1,,,,,,,,,,,,1,1,4,1,5,1,1,6,3,1,6,3,1,4,1,חבל שאין תוכנית להפחתת זיהום האוויר באמת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_placebo,,Mobile_waste e,,,,,,,4|2|1|5|7,,,,
R_2V7q57reeBPJ2R3,Default Response Set,Anonymous,,,,0,28/01/2018 14:20,28/01/2018 14:28,1,,,,,,,,,,,1,1,3,2,5,1,2,2,5,2,קרית ביאליק,תושבים לא מנקים אחרי הכלבים שלהם / ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.605,17.664,18.268,3,1,1,3,2,4,4,3,1,10.371,40.166,40.879,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.323,9.559,11.964,2,1,1,5,5,6,4,5,5,13.665,51.242,51.288,22,1,2,5,1,3,5,,1,,,,2,5,8,9,,,,,,,,,,,,,,,,1,25,6,1,2,,,1,קרית ביאליק ,2,2,5,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,4,5,1,3,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_treatment,POLICY PROGRAMS intro_control,,,Mobile_waste f,,,,,,4|5|2|1|7,,,,
R_wTrUq4dMeDOOiNb,Default Response Set,Anonymous,,,,0,28/01/2018 14:20,28/01/2018 14:29,1,,,,,,,,,,,1,1,5,5,4,1,5,4,6,2,קריית ים,"מיכלי האמוניה ,בתי זיקוק והזיהום בחוף הים",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,4,1,2,,,2,קריית ים,2,2,5,1,1,1,6,4,1,3,3,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31.384,31.384,33.454,1,1,3,4,6,5,4,3,4.105,33.477,35.426,9,1,17.786,17.786,19.925,1,1,5,7,6,6,7,5,5.958,45.238,47.671,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,5,6,2,1,,,,,7,3,8,9,,,,,,,,,,,,,,,Relevance_treatment,POLICY PROGRAMS intro_symbol,,,,waste a,,,1|2|5|4|7,,,,,,
R_78U7A8b0iapP08V,Default Response Set,Anonymous,,,,0,28/01/2018 14:22,28/01/2018 14:29,1,,,,,,,,,,,1,1,2,2,9,1,5,5,6,2,חיפה,זיהום סביבתי אבל לא של מפעלים כי אם דווא של מקומות כמו נמל חיפה.,,,,,,,,1,,,1,2.916,4.365,6.368,2,1,1,2,2,1,1,1,1,7.315,28.371,29.237,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.788,8.049,11.099,2,1,1,3,2,1,1,2,1,2.632,47.359,48.507,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,5,6,2,1,,,,,5,1,8,9,1,32,7,1,2,,,2,קריית ביאליק,2,2,5,1,1,1,4,1,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_treatment,POLICY PROGRAMS intro_symbol,Mobile_air a,,,,,,,,,1|5|2|4|7,,,
