V1,V10,CITY_reside_he,CITY_reside_en,i.user3,i.user3,,CITY_reside_ipanel_he,CITY_reside_ipanel_en
R_3qsuu4z56GrMAfc,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_27WMFg6135pqMBx,1,נשר,NESHER,,,נשר,נשר,
R_1CJFHZCJjpmVjj4,1,חיפה,HAIFA,,,חיפה,חיפה,
R_bvhJcEn15JtO4AV,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_3Jw8zoSGGNZ6LLF,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_1o7Gf6UU8roOnAn,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_3isAHoWkwiPyH7i,1,חיפה,HAIFA,,,חיפה,חיפה,
R_bC4mnnpr3E3IN6p,1,קרית חיים,QIRYAT HAIM,,,חיפה,חיפה,
R_1nYG2IQ9vRjQpS2,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_12SHmElqpacwjQn,1,קרית חיים,QIRYAT HAIM,,,חיפה,חיפה,
R_1DveJ2mKslw6ya2,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3rMmpjRsspq1NNk,1,קרית ים,QIRYAT YAM,,,קריית ים,קריית ים,
R_UthnbsjIHWGTQFX,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_2rMGW3p0e55njzG,1,נשר,NESHER,,,נשר,נשר,
R_2zLRnZ0k09xnWQQ,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2ziPgh9mdWysXUf,1,חיפה,HAIFA,,,חיפה,חיפה,
R_w7R3EMDP54VUp7X,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2xSkq5DPQZtSzW2,1,קרית מוצקין,QIRYAT MOZKIN,,,קריית מוצקין,קריית מוצקין,
R_2DMkN553Zn9UGWK,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_3nVD9f2JyMUvWE6,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_29i8dD7gJFpBH1U,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1rHqK3LnPIG8MyH,1,נשר,NESHER,,,נשר,נשר,
R_bCaW6TGMsKKdsWJ,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3mgA8ZI9TK6iLV2,1,חיפה,HAIFA,,,חיפה,חיפה,
R_dhtinQ3zC2QVMTn,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3dFlhTLuBeHrl9r,1,חיפה,HAIFA,,,חיפה,חיפה,
R_OIkeUOAZHKFaqhr,1,חיפה,HAIFA,,,חיפה,חיפה,
R_pM2lIN9uRczdzu9,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1JQTAJuS4J7arsE,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_332xulmzj1NUqYO,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2QRR7RgvrR02kVd,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_1dnvD36OhVfsNJ2,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_NVaKsNuy5BCDi5r,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_1g7Jqgcodowucg0,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2WZLjN2qHdgxkeN,1,נתניה,NATANIA,,,נתניה,נתניה,
R_XhMclajSOoS4BkR,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_6mKkbgUCsoas3LP,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_1IsZVdXNrzyXmwV,1,חיפה,HAIFA,,,חיפה,חיפה,
R_6sMFKPXBP2R4Pmh,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_3CI7o8fgLed28CY,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_3MFoQk3nLsS44Oj,1,חיפה,HAIFA,,,חיפה,חיפה,
R_3fio2k7QLqU83wD,1,נתניה,NATANIA,,,נתניה,נתניה,
R_2VEg12FXZAMeg7G,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_2ClGm7SkWzCmxQW,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_abpqDP9ZZsLePbH,1,חיפה,HAIFA,,,חיפה,חיפה,
R_3psR2y9UScNsmqg,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3NONCzVNjZcAo4P,1,חיפה,HAIFA,,,חיפה,חיפה,
R_1JQra7ILodwepIK,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_bJIpIADFckoLBnP,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_R8CsNJ9Ovd01zQB,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_27fYZIiCSsDCB9R,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_1gdL28qh9tAXSIm,1,חיפה,HAIFA,,,חיפה,חיפה,
R_O7rC4LMu5zrZ1vP,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_1GJkxjg8ZVGws6f,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_2V7q57reeBPJ2R3,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_wTrUq4dMeDOOiNb,1,קרית ים,QIRYAT YAM,,,קריית ים,קריית ים,
R_78U7A8b0iapP08V,1,חיפה,HAIFA,,,קריית ביאליק,קריית ביאליק,
R_spdPiI6sJPusXn3,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1KpXf0JWcSZSNHJ,1,חיפה,HAIFA,,,חיפה,חיפה,
R_DMMjqcTlfEn4tm9,1,קרית ים,QIRYAT YAM,,,קריית ים,קריית ים,
R_270WpvEKz2zKZ4j,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1qZYXJqsrnv73tx,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2pM4tVDuzH5Pqzb,1,נתניה,NATANIA,,,נתניה,נתניה,
R_2ZPU5Sjfq42HXhe,1,קרית מוצקין,QIRYAT MOZKIN,,,קריית מוצקין,קריית מוצקין,
R_2dDPgYMwI9f0qCd,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1JCpJxFFcvOZyew,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1Cqp92f9RqgU2FK,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_3OlF0mMEee7hq9P,1,חיפה,HAIFA,,,חיפה,חיפה,
R_1hy6jyiYHMYFm21,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2dvduVlUnQpw2SG,1,חיפה,HAIFA,,,חיפה,חיפה,
R_3QQ3W9qbS9Z0CqL,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_2S1vKdvFaeZfEG4,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3NRrEkCY9PCaYIX,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_27v99lvt7V679kk,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_3P6m9RnwGj5ZhXN,1,חיפה,HAIFA,,,חיפה,חיפה,
R_24i1MeIrK25qPkh,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1EQmcTTYjzGf1MR,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1LAl5RkUeyFUlv6,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_z0GU4T2CpxmhI77,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_3hAugSQyb1EU5vn,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3MSdJtobr9t8HTK,1,נתניה,NATANIA,,,נתניה,נתניה,
R_1FIzBVLyR0PXYrc,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3m3jI8zIsb8VVSx,1,חיפה,HAIFA,,,חיפה,חיפה,
R_21HDstmOvuqzr4h,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_10BI0qsTktxJJHt,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_3KNQo3zJe2jZA6H,1,נתניה,NATANIA,,,נתניה,נתניה,
R_0k1mB0yU1vtO9DH,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_323zfvI0AN9X5av,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_124pEtLD6Trkps4,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_Oga4CmbgQs276EN,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_pKvLpFUadcg0mu5,1,חיפה,HAIFA,,,חיפה,חיפה,
R_3iJ2ZliEmEI6FDh,1,קרית מוצקין,QIRYAT MOZKIN,,,נשר,נשר,
R_uvRIHlifSd2ENXj,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_2YCWPwakGZ6uDIT,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3NRmT0AXcDEbnZr,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_1mQxzpIA96YN8h7,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_11d0ZLhW5MQ0Noz,1,חיפה,HAIFA,,,חיפה,חיפה,
R_1Oku12NU9WOsvf2,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2azYxOsYQNztbck,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_1CHptkXztVrv24x,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_1BRXUfq4vcUe8mo,1,חיפה,HAIFA,,,חיפה,חיפה,
R_plN5eqWBNe6DBM5,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_3P6QTXSLouobJFN,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2VqZaJ8ZGNr7ie1,1,חיפה,HAIFA,,,חיפה,חיפה,
R_3EMgsFWRSSZz4Ya,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_3hrRF8u6BW0eDJJ,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_9YzaNRtnoZyB1iF,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_WdOdUF0bMsJyPIJ,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2AS6OL9lamUtYtD,1,קרית ים,QIRYAT YAM,,,קריית ים,קריית ים,
R_1r19ninAgdOExPO,1,חיפה,HAIFA,,,חיפה,חיפה,
R_1MMP9u0hbOZe39N,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_cAPhiBsKUObL2i5,1,חיפה,HAIFA,,,חיפה,חיפה,
R_9pOEHJKQJG34gBr,1,קרית מוצקין,QIRYAT MOZKIN,,,קריית ביאליק,קריית ביאליק,
R_2cemKnZ7hDwNdxF,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_1dn6YPSDxqpCOsy,1,נתניה,NATANIA,,,נתניה,נתניה,
R_3hucowz4TSKYbIo,1,חיפה,HAIFA,,,חיפה,חיפה,
R_PAnGgEYoqUr00xP,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_3m4Av7b9YwLKLD9,1,נשר,NESHER,,,נשר,נשר,
R_1P5h11GDixhZebr,1,נתניה,NATANIA,,,נתניה,נתניה,
R_9z81HfYtqYy0fLz,1,נתניה,NATANIA,,,נתניה,נתניה,
R_oXhwcoCjnFeCopz,1,נתניה,NATANIA,,,נתניה,נתניה,
R_xyIAQL5PuH6jGq5,1,קרית ביאליק,QIRYAT BIALIK,,,קריית ביאליק,קריית ביאליק,
R_211EkpQX3XenRQd,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2OUv8Ar7DfSVVpb,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2doPxrZubcViBGC,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_2TNtBtGkAy1aM9j,1,חיפה,HAIFA,,,חיפה,חיפה,
R_3s7APFno3OTzyDa,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2CyzN0EebOzeYIk,1,חיפה,HAIFA,,,חיפה,חיפה,
R_UGb7UGEQ1zoN2qR,1,נתניה,NATANIA,,,נתניה,נתניה,
R_2roNTHo9PBIQtPc,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_2vZduBqZ94iNu7k,1,קרית מוצקין,QIRYAT MOZKIN,,,קריית מוצקין,קריית מוצקין,
R_3L522hBtvDWrJ28,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_3dE8twl8CygjlXH,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_2wFFsVlaibNXNjK,1,נתניה,NATANIA,,,נתניה,נתניה,
R_1jI1RpYcxDujNqb,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1kIg2yOB1Rbr38p,1,קרית מוצקין,QIRYAT MOZKIN,,,קריית מוצקין,קריית מוצקין,
R_pLzcd9FoaeS8nlf,1,חיפה,HAIFA,,,חיפה,חיפה,
R_1obWQKjcZ9rAnSn,1,נתניה,NATANIA,,,נתניה,נתניה,
R_3efxbzlazrEHttA,1,חיפה,HAIFA,,,חיפה,חיפה,
R_1DMtZnahOLsycoc,1,חיפה,HAIFA,,,חיפה,חיפה,
R_8k7YKYgBCp5rmrD,1,חיפה,HAIFA,,,חיפה,חיפה,
R_3LgSK73Do24drmR,1,נשר,NESHER,,,נשר,נשר,
R_2tteC34k82o0Nay,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_VOvyBLzJ392Y5Vv,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_1EicHBmASTew7sB,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2UVHN0azksZPYCB,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_3qU2cBZrREH1VCG,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2E0DCnJuoTKkV2k,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_ux1ur95rL9LkZsR,1,פתח תקווה,PETACH TIKVA,,,פתח תקווה,פתח תקווה,
R_bpijAXbeKoUVBHH,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2rIP3sJEuzpZftk,1,נתניה,NATANIA,,,נתניה,נתניה,
R_299VB2Yyvan5bBr,1,קרית חיים,QIRYAT HAIM,,,חיפה,חיפה,
R_ThKlf0meg9JwKJj,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_2QErmPFapoHukeU,1,חיפה,HAIFA,,,חיפה,חיפה,
R_31NlETl4GVUa91Y,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_1OlxRmfapqLiDFz,1,חיפה,HAIFA,,,חיפה,חיפה,
R_roG2MjjTeY1YutP,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_A56ht23OrJhwFHz,1,ראשון לציון,RISHON LEZION,,,ראשון לציון,ראשון לציון,
R_26mX2KzJjXhXzwt,1,חיפה,HAIFA,,,חיפה,חיפה,
R_2V3ynVwP8eQ7Qug,1,קרית אתא,QIRYAT ATA,,,קריית אתא,קריית אתא,
R_2Xgtb3ekQrrm22I,1,נשר,NESHER,,,נשר,נשר,
